sample_id	attr_value	attr_type	attr_category
3	PNEC	Longhurst Province	Environment
4	ARAB	Longhurst Province	Environment
5	ARAB	Longhurst Province	Environment
6	ARAB	Longhurst Province	Environment
7	ARAB	Longhurst Province	Environment
8	ARAB	Longhurst Province	Environment
9	ARAB	Longhurst Province	Environment
10	ARAB	Longhurst Province	Environment
11	ARAB	Longhurst Province	Environment
12	ARAB	Longhurst Province	Environment
13	ARAB	Longhurst Province	Environment
14	ARAB	Longhurst Province	Environment
15	ARAB	Longhurst Province	Environment
16	ARAB	Longhurst Province	Environment
17	ARAB	Longhurst Province	Environment
18	ARAB	Longhurst Province	Environment
19	ARAB	Longhurst Province	Environment
20	ARAB	Longhurst Province	Environment
21	ARAB	Longhurst Province	Environment
22	ARAB	Longhurst Province	Environment
23	ARAB	Longhurst Province	Environment
24	ARAB	Longhurst Province	Environment
25	ARAB	Longhurst Province	Environment
26	ARAB	Longhurst Province	Environment
27	ARAB	Longhurst Province	Environment
28	ARAB	Longhurst Province	Environment
29	ARAB	Longhurst Province	Environment
30	ARAB	Longhurst Province	Environment
31	ARAB	Longhurst Province	Environment
32	ARAB	Longhurst Province	Environment
33	ARAB	Longhurst Province	Environment
34	ARAB	Longhurst Province	Environment
35	ARAB	Longhurst Province	Environment
36	ARAB	Longhurst Province	Environment
37	ARAB	Longhurst Province	Environment
38	ARAB	Longhurst Province	Environment
39	ARAB	Longhurst Province	Environment
40	ARAB	Longhurst Province	Environment
41	ARAB	Longhurst Province	Environment
42	ARAB	Longhurst Province	Environment
43	ARAB	Longhurst Province	Environment
44	APLR	Longhurst Province	Environment
45	APLR	Longhurst Province	Environment
46	APLR	Longhurst Province	Environment
47	APLR	Longhurst Province	Environment
48	APLR	Longhurst Province	Environment
49	APLR	Longhurst Province	Environment
50	APLR	Longhurst Province	Environment
51	APLR	Longhurst Province	Environment
52	APLR	Longhurst Province	Environment
53	APLR	Longhurst Province	Environment
54	APLR	Longhurst Province	Environment
55	APLR	Longhurst Province	Environment
56	APLR	Longhurst Province	Environment
57	APLR	Longhurst Province	Environment
58	APLR	Longhurst Province	Environment
59	APLR	Longhurst Province	Environment
60	APLR	Longhurst Province	Environment
61	APLR	Longhurst Province	Environment
62	APLR	Longhurst Province	Environment
63	APLR	Longhurst Province	Environment
64	APLR	Longhurst Province	Environment
65	APLR	Longhurst Province	Environment
66	APLR	Longhurst Province	Environment
67	APLR	Longhurst Province	Environment
69	APLR	Longhurst Province	Environment
70	APLR	Longhurst Province	Environment
74	APLR	Longhurst Province	Environment
75	APLR	Longhurst Province	Environment
76	APLR	Longhurst Province	Environment
77	ANTA	Longhurst Province	Environment
78	APLR	Longhurst Province	Environment
79	APLR	Longhurst Province	Environment
80	APLR	Longhurst Province	Environment
81	APLR	Longhurst Province	Environment
82	APLR	Longhurst Province	Environment
83	APLR	Longhurst Province	Environment
84	APLR	Longhurst Province	Environment
85	APLR	Longhurst Province	Environment
86	APLR	Longhurst Province	Environment
87	APLR	Longhurst Province	Environment
89	APLR	Longhurst Province	Environment
90	APLR	Longhurst Province	Environment
91	APLR	Longhurst Province	Environment
92	APLR	Longhurst Province	Environment
93	APLR	Longhurst Province	Environment
94	ANTA	Longhurst Province	Environment
95	APLR	Longhurst Province	Environment
96	APLR	Longhurst Province	Environment
97	APLR	Longhurst Province	Environment
98	APLR	Longhurst Province	Environment
99	APLR	Longhurst Province	Environment
100	ANTA	Longhurst Province	Environment
101	ANTA	Longhurst Province	Environment
102	ANTA	Longhurst Province	Environment
103	ANTA	Longhurst Province	Environment
104	ANTA	Longhurst Province	Environment
105	SANT	Longhurst Province	Environment
106	SANT	Longhurst Province	Environment
107	SANT	Longhurst Province	Environment
108	SSTC	Longhurst Province	Environment
109	SSTC	Longhurst Province	Environment
110	APLR	Longhurst Province	Environment
111	APLR	Longhurst Province	Environment
112	APLR	Longhurst Province	Environment
113	APLR	Longhurst Province	Environment
114	APLR	Longhurst Province	Environment
115	APLR	Longhurst Province	Environment
116	APLR	Longhurst Province	Environment
117	APLR	Longhurst Province	Environment
118	APLR	Longhurst Province	Environment
119	APLR	Longhurst Province	Environment
127	ANTA	Longhurst Province	Environment
128	ANTA	Longhurst Province	Environment
129	APLR	Longhurst Province	Environment
130	APLR	Longhurst Province	Environment
131	APLR	Longhurst Province	Environment
132	APLR	Longhurst Province	Environment
133	APLR	Longhurst Province	Environment
134	APLR	Longhurst Province	Environment
135	ANTA	Longhurst Province	Environment
136	ANTA	Longhurst Province	Environment
139	APLR	Longhurst Province	Environment
140	APLR	Longhurst Province	Environment
141	ANTA	Longhurst Province	Environment
142	ANTA	Longhurst Province	Environment
143	APLR	Longhurst Province	Environment
144	APLR	Longhurst Province	Environment
145	APLR	Longhurst Province	Environment
146	APLR	Longhurst Province	Environment
147	APLR	Longhurst Province	Environment
148	APLR	Longhurst Province	Environment
149	APLR	Longhurst Province	Environment
150	APLR	Longhurst Province	Environment
151	APLR	Longhurst Province	Environment
152	APLR	Longhurst Province	Environment
155	APLR	Longhurst Province	Environment
156	APLR	Longhurst Province	Environment
157	APLR	Longhurst Province	Environment
158	APLR	Longhurst Province	Environment
159	ANTA	Longhurst Province	Environment
160	ANTA	Longhurst Province	Environment
161	APLR	Longhurst Province	Environment
162	APLR	Longhurst Province	Environment
163	APLR	Longhurst Province	Environment
