Environmental package	Package item	Structured comment name	Value	Value details	Occurrence	Value syntax	Definition	EU	BA	PL	VI	ORG	ME	MIENS_S	MIENS_C	Position
air	barometric pressure	barometric_press	[measurement value]		1	float unit	force per unit area exerted against a surface by the weight of air above that surface	X	X	X	X	X	X	X	X	0
air	carbon dioxide	carb_dioxide	[measurement value]		1	float unit	carbon dioxide (gas) amount or concentration at the time of sampling	X	X	X	X	X	X	X	X	0
air	carbon monoxide	carb_monoxide	[measurement value]		1	float unit	carbon monoxide (gas) amount or concentration at the time of sampling	X	X	X	X	X	X	X	X	0
air	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	0
air	humidity	humidity	[measurement value]		1	float unit	amount of water vapour in the air, at the time of sampling	X	X	X	X	X	X	X	X	0
air	methane	methane	[measurement value]		1	float unit	methane (gas) amount or concentration at the time of sampling	X	X	X	X	X	X	X	X	0
air	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	0
air	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	0
air	oxygen	oxygen	[measurement value]		1	float unit	oxygen (gas) amount or concentration at the time of sampling	X	X	X	X	X	X	X	X	0
air	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	0
air	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	0
air	pollutants	pollutants	[pollutant name;measurement value]		multiple	text;float unit	pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant	X	X	X	X	X	X	X	X	0
