name_accession_number,name,host,host_phylum,viral_family,host_kingdom,name_accesion
6388v3_complete_20100909 ,streptococcus suis P1/7,Streptococcus,Firmicutes,,Bacteria,6388v3_complete_20100909
AB334720 ,Inovirus Enterobacteria phage f1,,GammaProteo,Inoviridae,Bacteria,AB334720
AB572858 ,Vibrio phage ND1-fs1 DNA,Vibrio,GammaProteo,Inoviridae,Bacteria,AB572858
AB597179 ,Ralstonia phage RSB2 DNA,Ralstonia,BetaProteo,Unclassified,Bacteria,AB597179
AB609718 ,Enterococcus phage phiEF24C-P2 DNA,Enterococcus,Firmicutes,Myoviridae,Bacteria,AB609718
AB626962 ,S24-1 DNA,Staphylococcus,Firmicutes,Podoviridae,Bacteria,AB626962
AB626963 ,S13' DNA,Staphylococcus,Firmicutes,Podoviridae,Bacteria,AB626963
AB712291 ,Enterococcus phage BC-611 DNA,Enterococcus,Firmicutes,Siphoviridae,Bacteria,AB712291
AB720063 ,Xanthomonas citri phage CP1 DNA,Xanthomonas,GammaProteo,Siphoviridae,Bacteria,AB720063
ABU ,Mycophage ABU,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,ABU
Acadian ,Mycophage Acadian,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Acadian
Adephagia ,Mycophage Adephagia,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Adephagia
AF059242 ,Bacteriophage MX1,Escherichia,GammaProteo,Leviviridae,Bacteria,AF059242
AF503408 ,P1-like viruses Enterobacteria phage P7,Enterobacteria,GammaProteo,Myoviridae,Bacteria,AF503408
AF527608 ,P22-like viruses Salmonella phage P22-pbi,Salmonella,GammaProteo,Podoviridae,Bacteria,AF527608
Airmid ,Mycophage Airmid,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Airmid
AJ630128 ,Bacteriophage S-PM2.,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,AJ630128
AJ748296 ,Sulfolobus islandicus rudivirus 1 variant XX,Sulfolobus,Crenarchaeota,Rudiviridae,Archaea,AJ748296
AJ969242 ,Spiroplasma phage SVGII3,Spiroplasma,Firmicutes,Inoviridae,Bacteria,AJ969242
Akoma ,Mycophage Akoma,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Akoma
Alice ,Mycophage Alice,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,Alice
Anaya ,Mycophage Anaya,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Anaya
AP011113 ,Enterobacteria phage AR1 DNA,Escherichia,GammaProteo,Myoviridae,Bacteria,AP011113
AP011617 ,Thermus phage TMA DNA,Thermus,Deynococcus-Thermus,Myoviridae,Bacteria,AP011617
AP011955 ,phi5967PVL DNA,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,AP011955
AP011956 ,phi7247PVL DNA,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,AP011956
Arbiter ,Mycophage Arbiter,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Arbiter
Ares ,Mycophage Ares,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Ares
Athena ,Mycophage Athena,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,Athena
AY176327 ,K,Staphylococcus,Firmicutes,Myoviridae,Bacteria,AY176327
AY569307 ,Sulfolobus turreted icosahedral virus,Sulfolobus,Crenarchaeota,Rudiviridae,Archaea,AY569307
AY739900 ,Lactobacillus phage LL-Ku,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,AY739900
AY848684 ,Tectivirus Enterobacteria phage L17,Enterobacteria,GammaProteo,Tectiviridae,Bacteria,AY848684
AY848685 ,Tectivirus Enterobacteria phage PR3,Enterobacteria,GammaProteo,Tectiviridae,Bacteria,AY848685
